Name,Symbol,Formula,Code,Description
diamonds,낅,"=UNICHAR(HEX2DEC(""b085""))",b085,Diamonds: Red diamond suit for card games. (board symbol)
dice-eight-faces-eight,낆,"=UNICHAR(HEX2DEC(""b086""))",b086,Dice 8 faces 8: (dice)
dice-fire,낇,"=UNICHAR(HEX2DEC(""b087""))",b087,Dice fire: A burning dice when luck is on your side and you're about to score a bonus. (dice fire)
dice-shield,낈,"=UNICHAR(HEX2DEC(""b088""))",b088,Dice shield: This dice offers a buff in the defense stat. Better protection is always a nice bonus to obtain. (dice shield)
dice-six-faces-five,낉,"=UNICHAR(HEX2DEC(""b089""))",b089,Dice 6 faces 5: (dice)
dice-six-faces-four,낊,"=UNICHAR(HEX2DEC(""b08a""))",b08a,Dice 6 faces 4: (dice)
dice-six-faces-one,낋,"=UNICHAR(HEX2DEC(""b08b""))",b08b,Dice 6 faces 1: (dice)
dice-six-faces-six,낌,"=UNICHAR(HEX2DEC(""b08c""))",b08c,Dice 6 faces 6: (dice)
dice-six-faces-three,낍,"=UNICHAR(HEX2DEC(""b08d""))",b08d,Dice 6 faces 3: (board dice)
dice-six-faces-two,낎,"=UNICHAR(HEX2DEC(""b08e""))",b08e,Dice 6 faces 2: (dice)
dice-target,낏,"=UNICHAR(HEX2DEC(""b08f""))",b08f,Dice target: The right number has to appear on the dice if you want to reach your bonus goal. (dice target)
dice-twenty-faces-one,낐,"=UNICHAR(HEX2DEC(""b090""))",b090,Dice 20 faces 1: This dice is symbol of very bad luck. (dice)
dice-twenty-faces-twenty,낑,"=UNICHAR(HEX2DEC(""b091""))",b091,Dice 20 faces 20: A D20 (dice)
dig-dug,낒,"=UNICHAR(HEX2DEC(""b092""))",b092,Dig dug: A shovel and pick alliance to make holes in the ground to find a treasure or precious minerals. (cross tool western)
dig-hole,낓,"=UNICHAR(HEX2DEC(""b093""))",b093,Dig hole: Bury a victim in the ground or find a treasure. Who knows your real purpose when you dig a deep tunnel? (pirate stone tool trap)
digital-trace,낔,"=UNICHAR(HEX2DEC(""b094""))",b094,Digital trace: Coordinate pinpoint indicating a precise location on a map. (gui map target)
dimetrodon,낕,"=UNICHAR(HEX2DEC(""b095""))",b095,"Dimetrodon: A big lizard-like creature with a massive crest on its back. This dinosaur cousin is not too distant from current Komodo dragons. Beware, despite its appearance, it's more related to mammals than reptiles (Thanks Evan ;) ) (reptile)"
dinosaur-bones,낖,"=UNICHAR(HEX2DEC(""b096""))",b096,Dinosaur bones: A fossil dating back from the Jurassic era. (bone creature)
dinosaur-egg,낗,"=UNICHAR(HEX2DEC(""b097""))",b097,"Dinosaur egg: Most of the time, this kind of egg is found as fossile. Yoshi doesn't hesitate to sacrifice them on enemies. (creature egg reptile super-mario)"
dinosaur-rex,나,"=UNICHAR(HEX2DEC(""b098""))",b098,"Dinosaur Rex: A tyrannosaurus head, therefore we can't see its tiny arms. (animal creature reptile)"
diplodocus,낙,"=UNICHAR(HEX2DEC(""b099""))",b099,Diplodocus: One of the biggest dinosaurs with a very long neck. It was an herbivore like actual graphs. (reptile)
diploma,낚,"=UNICHAR(HEX2DEC(""b09a""))",b09a,"Diploma: A beautiful piece of paper attached on the wall, symbol of a success, like in school, at work or in sports. (book rank)"
direction-sign,낛,"=UNICHAR(HEX2DEC(""b09b""))",b09b,Direction sign: Indication to find a specific place along a path or a road. (arrow map wood)
direction-signs,난,"=UNICHAR(HEX2DEC(""b09c""))",b09c,Direction signs: Which way to go? On the left of the road or on the right path? (map wood)
director-chair,낝,"=UNICHAR(HEX2DEC(""b09d""))",b09d,Director chair: When actors or directors need to rest on a set during shooting of a big movie for the cinema. (cinema household)
direwolf,낞,"=UNICHAR(HEX2DEC(""b09e""))",b09e,"Direwolf: In the freezing north, this predator has a warm fur to survive the coming winter. (mammal)"
disc-golf-bag,낟,"=UNICHAR(HEX2DEC(""b09f""))",b09f,Disc golf bag: This handbag is useful to carry several flying frisbees and energy beverages. (bag sport)
disc-golf-basket,날,"=UNICHAR(HEX2DEC(""b0a0""))",b0a0,"Disc golf basket: To score a point, throw a frisbee inside this metal net. (sport)"
disc,낡,"=UNICHAR(HEX2DEC(""b0a1""))",b0a1,Disc: Small capacity data storage used for computers until the 90s. (electronic)
discobolus,낢,"=UNICHAR(HEX2DEC(""b0a2""))",b0a2,"Discobolus: Built by the Athenian sculptor Myron, figuring a Greek athlete throwing a discus. (greek-roman sport statue)"
discussion,낣,"=UNICHAR(HEX2DEC(""b0a3""))",b0a3,Discussion: People having a little chat about mundane stuffs like weather or sometimes exchanging philosophical ideas. (action)
disintegrate,낤,"=UNICHAR(HEX2DEC(""b0a4""))",b0a4,Disintegrate: Vanish into thin air. Hasta la vista baby. (action skull)
distraction-2,낥,"=UNICHAR(HEX2DEC(""b0a5""))",b0a5,Distraction: Hard to stay focus on a task when something else very interesting occurs around. (body state)
distraction,낦,"=UNICHAR(HEX2DEC(""b0a6""))",b0a6,Distraction: Hard to stay focus on a task when something else very interesting occurs around. (body state)
distress-signal,낧,"=UNICHAR(HEX2DEC(""b0a7""))",b0a7,Distress signal: A SOS call coming from a distant planet. Should a rescue mission investigate? (space)
divergence,남,"=UNICHAR(HEX2DEC(""b0a8""))",b0a8,"Divergence: Three arrows pointing to different angles after a bounce. With this kind of reflection, it's hard to predict the outcome. (arrow rank)"
divert,납,"=UNICHAR(HEX2DEC(""b0a9""))",b0a9,Divert: Reflect non desirable effect to the opposite direction. (action arrow)
divided-spiral,낪,"=UNICHAR(HEX2DEC(""b0aa""))",b0aa,Divided spiral: Many small sections around a neuter snail shell. (ball symbol)
divided-square,낫,"=UNICHAR(HEX2DEC(""b0ab""))",b0ab,Divided square: A fragmented geometric shape rotated at 45 degrees. (symbol)
diving-dagger,났,"=UNICHAR(HEX2DEC(""b0ac""))",b0ac,Diving dagger: Falling like a bird on its prey. (blade)
diving-helmet,낭,"=UNICHAR(HEX2DEC(""b0ad""))",b0ad,Diving helmet: Headgear from a scuba equipment to breath underwater. Kind of the mask of Big Daddy in Bioshock. (hat sea steampunk)
djed-pillar,낮,"=UNICHAR(HEX2DEC(""b0ae""))",b0ae,"Djed pillar: A columm representing stability, like a spine made of stone. (building egypt tower)"
djembe,낯,"=UNICHAR(HEX2DEC(""b0af""))",b0af,Djembe: A rope-tuned skin-covered goblet drum played with bare hands (musical-instrument)
djinn,낰,"=UNICHAR(HEX2DEC(""b0b0""))",b0b0,Djinn: A spirit trapped in a lamp found in the desert. It can grant 3 wishes. (creature)
dna1,낱,"=UNICHAR(HEX2DEC(""b0b1""))",b0b1,DNA 1: A braid of genetic components forming an helix responsible of mutations. (body chemical)
dna2,낲,"=UNICHAR(HEX2DEC(""b0b2""))",b0b2,DNA 2: Interleaving molecules informations folded in the core of each living cell. (body chemical)
doctor-face,낳,"=UNICHAR(HEX2DEC(""b0b3""))",b0b3,Doctor face: A medic ready for emergencies with his mouth covered to avoid the propagation of his own germs during surgery. (head life mask)
dodge,내,"=UNICHAR(HEX2DEC(""b0b4""))",b0b4,Dodge: Avoiding an obstacle on a windy road with a smooth curved trajectory and no collision. (arrow)
dodging,낵,"=UNICHAR(HEX2DEC(""b0b5""))",b0b5,Dodging: Avoiding a danger at the last second in a quick movement in the opposite direction. (action body)
dog-bowl,낶,"=UNICHAR(HEX2DEC(""b0b6""))",b0b6,Dog bowl: Dogs deserve a good meal too! (animal bone food)
dog-house,낷,"=UNICHAR(HEX2DEC(""b0b7""))",b0b7,Dog house: A small shed that serves as a kennel to shelter dogs in the garden. (animal building farm)
dolmen,낸,"=UNICHAR(HEX2DEC(""b0b8""))",b0b8,"Dolmen: A crude temple to old Gods, like StoneEdge or Carnac. (door stone stone-age)"
dolphin,낹,"=UNICHAR(HEX2DEC(""b0b9""))",b0b9,"Dolphin: Clever animals living in playful bands under the waves of oceans. Dolphins communicate and guide themselves with sophisticated ultrasounds, like Echo in the famous Sega title. (animal fish mammal pirate sea)"
domino-mask,낺,"=UNICHAR(HEX2DEC(""b0ba""))",b0ba,Domino mask: The quick disguise when you're invited to a party. (mask)
domino-tiles,낻,"=UNICHAR(HEX2DEC(""b0bb""))",b0bb,"Domino tiles: Like dies, number must be correctly align to build the full path. (board toy)"
doner-kebab,낼,"=UNICHAR(HEX2DEC(""b0bc""))",b0bc,Doner kebab: Rotating peace of meat served as a tasty snack in countries like Turkey. (food)
donkey,낽,"=UNICHAR(HEX2DEC(""b0bd""))",b0bd,Donkey: Horse cousin doing grunt work in farms. (animal farm mammal)
donut,낾,"=UNICHAR(HEX2DEC(""b0be""))",b0be,Donut: A cake in a ring shape with chocolate or syrup on top. (food police)
door-handle,낿,"=UNICHAR(HEX2DEC(""b0bf""))",b0bf,Door handle: If you have the correct key you may pass this entrance. (door household lock)
door-ring-handle,냀,"=UNICHAR(HEX2DEC(""b0c0""))",b0c0,Door ring handle: This iron handle is heavy enough to produce a distinc knocking noise when hitting the door. (door lock)
door-watcher,냁,"=UNICHAR(HEX2DEC(""b0c1""))",b0c1,Door watcher: The guard will only let you enter if you have the right password. (door trap)
door,냂,"=UNICHAR(HEX2DEC(""b0c2""))",b0c2,Door: A mobile separation between two rooms. (door household)
doorway,냃,"=UNICHAR(HEX2DEC(""b0c3""))",b0c3,Doorway: This closed arch leads to an important room. (door)
dorsal-scales,냄,"=UNICHAR(HEX2DEC(""b0c4""))",b0c4,"Dorsal scales: Like the spine of a stegosaurus, this metal bumps offer protective advantage against back-stabs. (armor)"
double-diaphragm,냅,"=UNICHAR(HEX2DEC(""b0c5""))",b0c5,Double diaphragm: The opening lens of a photo camera. (ball)
double-dragon,냆,"=UNICHAR(HEX2DEC(""b0c6""))",b0c6,"Double dragon: Two ancient spirits fighting in the streets. It's like a mini hydra, where each head is independent can be very effective if acting together. (creature reptile)"
double-face-mask,냇,"=UNICHAR(HEX2DEC(""b0c7""))",b0c7,Double face mask: Duality with dark and bright sides. The shadow part only expose a bright eye. (light mask)
double-fish,냈,"=UNICHAR(HEX2DEC(""b0c8""))",b0c8,Double fish: 2 fish quietly swimming in undisturbed water. (fish)
double-necklace,냉,"=UNICHAR(HEX2DEC(""b0c9""))",b0c9,Double necklace: Beautiful pears attached to a precious lace. (jewellery string)
double-quaver,냊,"=UNICHAR(HEX2DEC(""b0ca""))",b0ca,Double quaver: A musical note to compose a catchy tune. (sound)
double-ringed-orb,냋,"=UNICHAR(HEX2DEC(""b0cb""))",b0cb,Double ringed orb: A giant planet like Saturn but with two interleaved orbital rings made of asteroids dust. (ball science-fiction space)
double-shot,냌,"=UNICHAR(HEX2DEC(""b0cc""))",b0cc,Double shot: An bow with two arrows to kill twins at the same time. (arrow weapon)
double-street-lights,냍,"=UNICHAR(HEX2DEC(""b0cd""))",b0cd,"Double street lights: During the night, a dim light is always needed to feel safe. (building light)"
doubled,냎,"=UNICHAR(HEX2DEC(""b0ce""))",b0ce,Doubled: A yin / yang balance about to form. (symbol)
dough-roller,냏,"=UNICHAR(HEX2DEC(""b0cf""))",b0cf,Dough roller: Cuisine utensil used to flatten dough and prepare cakes or pizzas. It's possible that cooks use this as a weapon during a fight in a bakery. (kitchenware wood)
dove,냐,"=UNICHAR(HEX2DEC(""b0d0""))",b0d0,Dove: A pigeon with spread wings. (bird wing)
dozen,냑,"=UNICHAR(HEX2DEC(""b0d1""))",b0d1,"Dozen: A group of twelve people perfectly aligned, like a small army. (body civilization)"
dragon-balls,냒,"=UNICHAR(HEX2DEC(""b0d2""))",b0d2,Dragon balls: Magic spheres united to summon a mighty dragon. (ball glass)
dragon-breath,냓,"=UNICHAR(HEX2DEC(""b0d3""))",b0d3,Dragon breath: A tornado of heat spat from the mouth of an evil monster to burn the people. (fire)
dragon-head-2,냔,"=UNICHAR(HEX2DEC(""b0d4""))",b0d4,Dragon head: A mythic flying lizard capable of vomiting fire and burn whole city to the ground. (creature medieval-fantasy reptile)
dragon-head,냕,"=UNICHAR(HEX2DEC(""b0d5""))",b0d5,Dragon head: A mythic flying lizard capable of vomiting fire and burn whole city to the ground. (creature medieval-fantasy reptile)
dragon-orb,냖,"=UNICHAR(HEX2DEC(""b0d6""))",b0d6,Dragon orb: A mystic diviniation sphere resting in a reptilian palm. (ball claw)
dragon-shield,냗,"=UNICHAR(HEX2DEC(""b0d7""))",b0d7,Dragon shield: Can this protection sustain the fire-breath of a dragon? Only a mighty adventurer may prove it. (shield)
dragon-spiral,냘,"=UNICHAR(HEX2DEC(""b0d8""))",b0d8,Dragon spiral: This long snake is escaping its nest in long circles. (creature tentacle)
dragonfly,냙,"=UNICHAR(HEX2DEC(""b0d9""))",b0d9,Dragonfly: This large winged insect love to rest around ponds and in swamps. (animal insect wing)
drakkar-dragon,냚,"=UNICHAR(HEX2DEC(""b0da""))",b0da,Drakkar dragon: A threatening mythical animal head with horns carved in the wood of a Viking ship bow. (boat creature horn viking)
drakkar,냛,"=UNICHAR(HEX2DEC(""b0db""))",b0db,Drakkar: Viking ship with a fearsome dragon at the front and shields along the sides. This is the kind of boat this fierce people used to invade French Normandy and even discover Canada. (boat sea viking)
drama-masks,냜,"=UNICHAR(HEX2DEC(""b0dc""))",b0dc,"Drama masks: Expressions of actors on a theater stage during a show: happiness, angriness and sadness. (cinema circus mask state)"
drawbridge,냝,"=UNICHAR(HEX2DEC(""b0dd""))",b0dd,Drawbridge: A wooden bridge attached to chains is the only way to cross the moat and enter the castle. (bridge)
dread-skull,냞,"=UNICHAR(HEX2DEC(""b0de""))",b0de,Dread skull: Stripes at the top of the foreheads give a posthumous tribal feeling. (skull)
dread,냟,"=UNICHAR(HEX2DEC(""b0df""))",b0df,Dread: Intense fear about a danger. (state)
dreadnought,냠,"=UNICHAR(HEX2DEC(""b0e0""))",b0e0,Dreadnought: A massive battleship from the Royal Navy. (boat sea smoke)
dream-catcher,냡,"=UNICHAR(HEX2DEC(""b0e1""))",b0e1,Dream catcher: A mystic ring decorated with beads and feathers used by Native Americans. (symbol western)
dress,냢,"=UNICHAR(HEX2DEC(""b0e2""))",b0e2,Dress: A female outfit covering the whole body. (clothing)
drill-2,냣,"=UNICHAR(HEX2DEC(""b0e3""))",b0e3,Drill: To push a screw into a wall or a plank without effort. (machine tool)
drill,냤,"=UNICHAR(HEX2DEC(""b0e4""))",b0e4,Drill: To push a screw into a wall or a plank without effort. (machine tool)
drink-me,냥,"=UNICHAR(HEX2DEC(""b0e5""))",b0e5,Drink me: A tempting potion for Alice with weird effects and no real indications about the contact on the tag. (bottle chemical liquid)
drinking,냦,"=UNICHAR(HEX2DEC(""b0e6""))",b0e6,Drinking: Swallow large gulps of liquid to refresh your body. If it's alcohol the side effect can be troubling. (action liquid mouth)
dripping-blade,냧,"=UNICHAR(HEX2DEC(""b0e7""))",b0e7,Dripping blade: A murderer weapon after he committed his crime. (blade blood liquid)
dripping-goo,냨,"=UNICHAR(HEX2DEC(""b0e8""))",b0e8,"Dripping goo: Thick mixture pouring from a bowl, like a mud bath. (liquid)"
dripping-honey,냩,"=UNICHAR(HEX2DEC(""b0e9""))",b0e9,Dripping honey: Hungry bears will soon appear to keep away bees from their precious nectar. (farm food insect liquid)
dripping-knife,냪,"=UNICHAR(HEX2DEC(""b0ea""))",b0ea,Dripping Knife: A professional Hitman always clean his lethal blade to destroy all evidences from a murder scene. (blade blood liquid weapon)
dripping-star,냫,"=UNICHAR(HEX2DEC(""b0eb""))",b0eb,Dripping Star: Crying star like a bad curse. (liquid star)
dripping-stone,냬,"=UNICHAR(HEX2DEC(""b0ec""))",b0ec,Dripping stone: Looks like some water or blood getting out a solid rock. (liquid stone)
dripping-sword,냭,"=UNICHAR(HEX2DEC(""b0ed""))",b0ed,Dripping sword: A bloody blade after a fight. (blade liquid)
dripping-tube,냮,"=UNICHAR(HEX2DEC(""b0ee""))",b0ee,Dripping tube: A strange bubbling liquid pouring a drop with unknown consequences on materials. (chemical)
drop-earrings,냯,"=UNICHAR(HEX2DEC(""b0ef""))",b0ef,Drop earrings: Round and shiny metal parts to go with an appropriate necklace. (jewellery)
drop-weapon,냰,"=UNICHAR(HEX2DEC(""b0f0""))",b0f0,"Drop weapon: Battle's over, it's time to give up the fight when you're unharmed. Your opponent may appreciate that your disarm and spare your life. (action hand weapon)"
drop,냱,"=UNICHAR(HEX2DEC(""b0f1""))",b0f1,Drop: A very small quantity of liquid. This unit of measure is used in recipe. (liquid)
droplet-splash,냲,"=UNICHAR(HEX2DEC(""b0f2""))",b0f2,Droplet splash: A form of torture really annoying when you receive the drop on your forehead. (liquid)
droplets,냳,"=UNICHAR(HEX2DEC(""b0f3""))",b0f3,Droplets: 3 heavy drops of dark liquid containing the same substance. (chemical liquid)
drowning,냴,"=UNICHAR(HEX2DEC(""b0f4""))",b0f4,Drowning: Can't breath under water without a diving equipment. After a few minutes the level of oxygen is getting to low. (action death liquid sea state)
drum-kit,냵,"=UNICHAR(HEX2DEC(""b0f5""))",b0f5,"Drum kit: A percussion setup with snares, hi-hats, cymbals. (musical-instrument)"
drum,냶,"=UNICHAR(HEX2DEC(""b0f6""))",b0f6,Drum: Percussion instrument played with two sticks and marking the adequate tempo during military marches. (circus musical-instrument toy)
duality-mask,냷,"=UNICHAR(HEX2DEC(""b0f7""))",b0f7,"Duality mask: Two opposite part of a faces, reflecting the eternal conflict in each soul. (mask)"
duality,냸,"=UNICHAR(HEX2DEC(""b0f8""))",b0f8,"Duality: Two opposite and complementary beings at the same time. The twins are half separated between light and darkness, like enemies in opposite teams. (body light)"
duck-palm,냹,"=UNICHAR(HEX2DEC(""b0f9""))",b0f9,Duck palm: This webbed foot is useful to propel on a liquid surface. (bird claw)
duck,냺,"=UNICHAR(HEX2DEC(""b0fa""))",b0fa,Duck: Small bird enjoying ponds. They often live in farms along chickens. (animal bird farm)
duel,냻,"=UNICHAR(HEX2DEC(""b0fb""))",b0fb,"Duel: A 1 versus 1 gun battle, like during Far West times. (weapon)"
duffel-bag,냼,"=UNICHAR(HEX2DEC(""b0fc""))",b0fc,Duffel bag: Military bag made of resistant canvas with a string to close the opening. (bag)
dumpling-bao,냽,"=UNICHAR(HEX2DEC(""b0fd""))",b0fd,Dumpling bao: These buns are filled with barbecue-flavored meat. (food)
dumpling,냾,"=UNICHAR(HEX2DEC(""b0fe""))",b0fe,Dumpling: Wrapper around a tasty filling. Always a nice discovery inside. (food)
dunce-cap,냿,"=UNICHAR(HEX2DEC(""b0ff""))",b0ff,Dunce cap: A conic hat to wear in shame when you're designated as the dumb person of the classroom. (hat)
dungeon-gate,넀,"=UNICHAR(HEX2DEC(""b100""))",b100,Dungeon gate: A dark crypt entrance to narrow underground corridors leading to a treasure guarded by monsters. (building door light)
dungeon-light,넁,"=UNICHAR(HEX2DEC(""b101""))",b101,Dungeon light: The dim rays are penetrating between the bars of this narrow window. The gloomy corridor remains dark and torch are still necessary. (building light vampire)
duration,넂,"=UNICHAR(HEX2DEC(""b102""))",b102,Duration: Only a few precious seconds left to end the game. (time)
dust-cloud,넃,"=UNICHAR(HEX2DEC(""b103""))",b103,"Dust cloud: Small particles flying around in the fog, like during a sand storm. (sky wound)"
dutch-bike,넄,"=UNICHAR(HEX2DEC(""b104""))",b104,Dutch bike: A urban bicycle to have a nice and clean journey along the channels of Amsterdam. (vehicle)
dwarf-face,넅,"=UNICHAR(HEX2DEC(""b105""))",b105,"Dwarf face: Imp with a helmet and a big beard. Dwarves usually live in mines and therefore have hard times traveling along side other <a href=""/games/medieval-fantasy.html"">fantasy races</a> like elves. (head medieval-fantasy)"
dwarf-helmet,넆,"=UNICHAR(HEX2DEC(""b106""))",b106,"Dwarf helmet: Dwarves deserve thick helmets to protect them from falling stones while mining, especially in Moria. (hat medieval-fantasy)"
dwarf-king,넇,"=UNICHAR(HEX2DEC(""b107""))",b107,Dwarf king: The helmet of the mine emperor with a rune at the center to show its royal rank. (hat medieval-fantasy)
dwennimmen,너,"=UNICHAR(HEX2DEC(""b108""))",b108,"Dwennimmen: A West African symbol of humility and strength, literally meaning Ram's Horns. (symbol)"
dynamite,넉,"=UNICHAR(HEX2DEC(""b109""))",b109,Dynamite: Three tubes of TNT ready to explode during a sabotage. Just need to ignite the fuse and wait for it to consume entirely. (bomb western)
eagle-emblem,넊,"=UNICHAR(HEX2DEC(""b10a""))",b10a,Eagle emblem: An heraldic pride for the prince of sky. Like the Aquila flag during SPQR ages. (animal bird greek-roman symbol)
eagle-head,넋,"=UNICHAR(HEX2DEC(""b10b""))",b10b,Eagle head: A majestic bird of prey with super vision. (animal bird western)
earbuds,넌,"=UNICHAR(HEX2DEC(""b10c""))",b10c,Earbuds: Small independent speakers with wires which fit in the ears. (sound)
earrings,넍,"=UNICHAR(HEX2DEC(""b10d""))",b10d,Earrings: Two long metal plates with diamonds to wear with a necklace. (jewellery)
earth-africa-europe,넎,"=UNICHAR(HEX2DEC(""b10e""))",b10e,Earth Africa & Europe: Our planet centered on the Birth and Old Continents (gui map space)
earth-america,넏,"=UNICHAR(HEX2DEC(""b10f""))",b10f,Earth America: Our planet centered on the New World (gui map space)
earth-asia-oceania,널,"=UNICHAR(HEX2DEC(""b110""))",b110,"Earth Asia & Oceania: Our planet centered on the East, Australia and the archipels. (australia gui map space)"
earth-crack,넑,"=UNICHAR(HEX2DEC(""b111""))",b111,Earth crack: The ground being divided on small platforms. (explosion nature spike)
earth-spit,넒,"=UNICHAR(HEX2DEC(""b112""))",b112,"Earth spit: A subterranean meltdown leading to disastrous ground damages, like after an earthquake. (spike)"
earth-worm,넓,"=UNICHAR(HEX2DEC(""b113""))",b113,Earthworm: The small and gooey invertebrate living in moist underground doesn't want to go fishing. (animal)
earwig,넔,"=UNICHAR(HEX2DEC(""b114""))",b114,Earwig: Nocturnal insect trying to grab your ears to make a hole. (animal insect)
easel,넕,"=UNICHAR(HEX2DEC(""b115""))",b115,Easel: An upright support used by artist to express themselves for painting. (office)
easter-egg,넖,"=UNICHAR(HEX2DEC(""b116""))",b116,Easter egg: A decorated egg with stripes and colorful twirls. There may be chocolate inside. (egg food symbol)
eating-pelican,넗,"=UNICHAR(HEX2DEC(""b117""))",b117,Eating pelican: The massive beak of this huge bird can engulf whole preys. (bird fish)
eating,넘,"=UNICHAR(HEX2DEC(""b118""))",b118,"Eating: Consume good food during breakfast, lunch or dinner to nourish your body. Don't forget to chew before swallowing. (action food mouth)"
echo-ripples,넙,"=UNICHAR(HEX2DEC(""b119""))",b119,Echo ripples: Waves moving on a liquid surface. (sound)
eclipse-flare,넚,"=UNICHAR(HEX2DEC(""b11a""))",b11a,Eclipse flare: Instants before pitch dark. (star)
eclipse-saw,넛,"=UNICHAR(HEX2DEC(""b11b""))",b11b,Eclipse saw: The curved border of the sun in fire. (spike star)
eclipse,넜,"=UNICHAR(HEX2DEC(""b11c""))",b11c,"Eclipse: Once and again, planets play hide and seek. (light science-fiction space star)"
ecology,넝,"=UNICHAR(HEX2DEC(""b11d""))",b11d,Ecology: Protection of the environment with clean energies and good practices to reduce global warming. (map nature)
edge-crack,넞,"=UNICHAR(HEX2DEC(""b11e""))",b11e,Edge crack: A bevel falling into splinters. (spike)
edged-shield,넟,"=UNICHAR(HEX2DEC(""b11f""))",b11f,Edged Shield: A star shape bevel along the border of this shield. (shield)
eel,넠,"=UNICHAR(HEX2DEC(""b120""))",b120,Eel: This aquatic snake like fish may fight against a lamprey. (fish reptile)
egg-clutch,넡,"=UNICHAR(HEX2DEC(""b121""))",b121,Egg clutch: It's produced daily by chickens and serves as the basis for almost any recipe. (bird egg farm)
egg-defense,넢,"=UNICHAR(HEX2DEC(""b122""))",b122,Egg defense: The sound waves are emitted by a wild creature ready to hatch. (egg explosion)
egg-eye,넣,"=UNICHAR(HEX2DEC(""b123""))",b123,Egg eye: A crack in the shell let the curious stare of a new born exploring the surroundings. (egg eye)
egg-pod,네,"=UNICHAR(HEX2DEC(""b124""))",b124,Egg pod: To make the egg stands on the table without rolling. (egg food kitchenware)
egypt,넥,"=UNICHAR(HEX2DEC(""b125""))",b125,Egypt: North African country encompassing the Nile delta. It used to be the kingdom of Pharaohs. The capital is Cairo. (egypt map)
egyptian-bird,넦,"=UNICHAR(HEX2DEC(""b126""))",b126,Egyptian bird: A hieroglyph figure of a small hawk resting calmly. (bird egypt)
egyptian-profile,넧,"=UNICHAR(HEX2DEC(""b127""))",b127,Egyptian profile: A classical picture on painted walls of an egyptian citizen during the ancient empire. (egypt head)
egyptian-pyramids,넨,"=UNICHAR(HEX2DEC(""b128""))",b128,"Egyptian Pyramids: Huge geometric wonders build by Pharaohs as their final mausoleum in the desert. Thousands of slaves contributed to the construction, with still unknown techniques. (building egypt)"
egyptian-sphinx,넩,"=UNICHAR(HEX2DEC(""b129""))",b129,Egyptian sphinx: Massive statue with a broken nose near the pyramids in the desert. It may ask you some riddles. (building creature egypt statue)
egyptian-temple,넪,"=UNICHAR(HEX2DEC(""b12a""))",b12a,Egyptian temple: A desert castle with obelisks on each side of the gate. (building civilization egypt)
egyptian-urns,넫,"=UNICHAR(HEX2DEC(""b12b""))",b12b,Egyptian urns: Decorated pottery to keep the organs during an embalming ritual. (container death egypt)
egyptian-walk,넬,"=UNICHAR(HEX2DEC(""b12c""))",b12c,"Egyptian walk: Walk sideway, like an Egyptian with weird angles at shoulders and elbows. (body egypt)"
eight-ball,넭,"=UNICHAR(HEX2DEC(""b12d""))",b12d,Eight ball: Don't push it down the hole during a pool game. (ball sport)
elbow-pad,넮,"=UNICHAR(HEX2DEC(""b12e""))",b12e,Elbow pad: A protection for the flexible part between the upper arm and the rest of the limb. (armor)
elderberry,넯,"=UNICHAR(HEX2DEC(""b12f""))",b12f,Elderberry: A black fruit growing in grapes. Mainly prepared as jam or candy. (food fruit plant)
electric-whip,넰,"=UNICHAR(HEX2DEC(""b130""))",b130,Electric whip: An electrical slash. (lightning)
electric,넱,"=UNICHAR(HEX2DEC(""b131""))",b131,Electric: An electrical arc. (lightning)
electrical-crescent,넲,"=UNICHAR(HEX2DEC(""b132""))",b132,Electrical crescent: Sparks concentrated in a moon like shape. (explosion)
electrical-resistance,넳,"=UNICHAR(HEX2DEC(""b133""))",b133,Electrical resistance: A conductor to reduce current on a wire. (electronic energy)
electrical-socket,넴,"=UNICHAR(HEX2DEC(""b134""))",b134,Electrical socket: Holes in the wall to connect plugs of appliances. (energy household)
elephant-head,넵,"=UNICHAR(HEX2DEC(""b135""))",b135,Elephant head: Huge animal living in Africa or Asia. The elephant is famous for its long trump and ivory horns. (animal arimaa mammal)
elephant,넶,"=UNICHAR(HEX2DEC(""b136""))",b136,Elephant: A slow moving giant beast living in Africa or Asia. It's quite pacific despite its long husk. (animal circus mammal)
elevator,넷,"=UNICHAR(HEX2DEC(""b137""))",b137,Elevator: To go several floors up or down without climbing the stairs. (building door household)
elf-ear,넸,"=UNICHAR(HEX2DEC(""b138""))",b138,"Elf ear: Pointy ear like Vulcans, to efficiently capture surrounding noises. (head jewellery sound)"
elf-helmet,넹,"=UNICHAR(HEX2DEC(""b139""))",b139,Elf helmet: A long helm with wing-shaped protections on the side and a narrow star for the noise. (hat medieval-fantasy)
elven-castle,넺,"=UNICHAR(HEX2DEC(""b13a""))",b13a,Elven castle: A magnificent magic city of elves with high towers. (building)
elysium-shade,넻,"=UNICHAR(HEX2DEC(""b13b""))",b13b,Elysium shade: The soul of fallen warriors that could soon be revived again and again in a infinite spawn loop. (creature)
ember-shot,넼,"=UNICHAR(HEX2DEC(""b13c""))",b13c,Ember shot: A burning projectile aimed at enemy troops. (fire)
embrassed-energy,넽,"=UNICHAR(HEX2DEC(""b13d""))",b13d,Embraced energy: Bright aura around a powerful warlock exposing its magic abilities in a cruciform posture. (body cross energy explosion)
embryo,넾,"=UNICHAR(HEX2DEC(""b13e""))",b13e,"Embryo: A future baby, growing in an uterus. (life)"
